x_pos,y_pos
181.48133825832898,411.4744980455174
181.93998308170893,405.4920533173158
182.3986279050889,399.50960858911424
182.85727272846884,393.52716386091265
183.3159175518488,387.54471913271107
183.77456237522875,381.5622744045095
184.2332071986087,375.5798296763079
184.69185202198867,369.5973849481063
185.15049684536862,363.6149402199047
185.60914166874858,357.63249549170314
186.06778649212853,351.65005076350155
186.5264313155085,345.66760603529997
186.98507613888845,339.6851613070984
187.4437209622684,333.7027165788968
187.90236578564836,327.7202718506952
188.3610106090283,321.7378271224936
188.81965543240827,315.75538239429204
189.27830025578822,309.77293766609046
189.73694507916818,303.79049293788887
190.19558990254814,297.8080482096873
190.6542347259281,291.8256034814857
191.11287954930805,285.8431587532841
191.571524372688,279.86071402508253
192.03016919606796,273.87826929688094
192.48881401944791,267.89582456867936
