pl_BM_3,pl_BM_6,pl_CRW_6
2220.0,4440.0,4440.0
2223.0,4446.0,4446.0
2226.0,4452.0,4452.0
2229.0,4458.0,4458.0
2232.0,4464.0,4464.0
2235.0,4470.0,4470.0
2238.0,4476.0,4476.0
2241.0,4482.0,4482.0
2244.0,4488.0,4488.0
2247.0,4494.0,4494.0
2250.0,4500.0,4500.0
2253.0,4506.0,4506.0
2256.0,4512.0,4512.0
2259.0,4518.0,4518.0
2262.0,4524.0,4524.0
2265.0,4530.0,4530.0
2268.0,4536.0,4536.0
2271.0,4542.0,4542.0
2274.0,4548.0,4548.0
2277.0,4554.0,4554.0
2280.0,4560.0,4560.0
2283.0,4566.0,4566.0
2286.0,4572.0,4572.0
2289.0,4578.0,4578.0
2292.0,4584.0,4584.0
2295.0,4590.0,4590.0
2298.0,4596.0,4596.0
2301.0,4602.0,4602.0
2304.0,4608.0,4608.0
2307.0,4614.0,4614.0
2310.0,4620.0,4620.0
2313.0,4626.0,4626.0
2316.0,4632.0,4632.0
2319.0,4638.0,4638.0
2322.0,4644.0,4644.0
2325.0,4650.0,4650.0
2328.0,4656.0,4656.0
2331.0,4662.0,4662.0
2334.0,4668.0,4668.0
2337.0,4674.0,4674.0
2340.0,4680.0,4680.0
2343.0,4686.0,4686.0
2346.0,4692.0,4692.0
2349.0,4698.0,4698.0
2352.0,4704.0,4704.0
2355.0,4710.0,4710.0
2358.0,4716.0,4716.0
2361.0,4722.0,4722.0
2364.0,4728.0,4728.0
2367.0,4734.0,4734.0
2370.0,4740.0,4740.0
2373.0,4746.0,4746.0
2376.0,4752.0,4752.0
2379.0,4758.0,4758.0
2382.0,4764.0,4764.0
2385.0,4770.0,4770.0
2388.0,4776.0,4776.0
2391.0,4782.0,4782.0
2394.0,4788.0,4788.0
2397.0,4794.0,4794.0
2400.0,4800.0,4800.0
2403.0,4806.0,4806.0
2406.0,4812.0,4812.0
2409.0,4818.0,4818.0
2412.0,4824.0,4824.0
2415.0,4830.0,4830.0
2418.0,4836.0,4836.0
2421.0,4842.0,4842.0
2424.0,4848.0,4848.0
2427.0,4854.0,4854.0
2430.0,4860.0,4860.0
2433.0,4866.0,4866.0
2436.0,4872.0,4872.0
2439.0,4878.0,4878.0
2442.0,4884.0,4884.0
2445.0,4890.0,4890.0
2448.0,4896.0,4896.0
2451.0,4902.0,4902.0
2454.0,4908.0,4908.0
2457.0,4914.0,4914.0
2460.0,4920.0,4920.0
2463.0,4926.0,4926.0
2466.0,4932.0,4932.0
2469.0,4938.0,4938.0
2472.0,4944.0,4944.0
2475.0,4950.0,4950.0
2478.0,4956.0,4956.0
2481.0,4962.0,4962.0
2484.0,4968.0,4968.0
2487.0,4974.0,4974.0
2490.0,4980.0,4980.0
2493.0,4986.0,4986.0
2496.0,4992.0,4992.0
2499.0,4998.0,4998.0
2502.0,5004.0,5004.0
2505.0,5010.0,5010.0
2508.0,5016.0,5016.0
2511.0,5022.0,5022.0
2514.0,5028.0,5028.0
2517.0,5034.0,5034.0
2520.0,5040.0,5040.0
2523.0,5046.0,5046.0
2526.0,5052.0,5052.0
2529.0,5058.0,5058.0
2532.0,5064.0,5064.0
2535.0,5070.0,5070.0
2538.0,5076.0,5076.0
2541.0,5082.0,5082.0
2544.0,5088.0,5088.0
2547.0,5094.0,5094.0
2550.0,5100.0,5100.0
2553.0,5106.0,5106.0
2556.0,5112.0,5112.0
2559.0,5118.0,5118.0
2562.0,5124.0,5124.0
2565.0,5130.0,5130.0
2568.0,5136.0,5136.0
2571.0,5142.0,5142.0
2574.0,5148.0,5148.0
2577.0,5154.0,5154.0
2580.0,5160.0,5160.0
2583.0,5166.0,5166.0
2586.0,5172.0,5172.0
2589.0,5178.0,5178.0
2592.0,5184.0,5184.0
2595.0,5190.0,5190.0
2598.0,5196.0,5196.0
2601.0,5202.0,5202.0
2604.0,5208.0,5208.0
2607.0,5214.0,5214.0
2610.0,5220.0,5220.0
2613.0,5226.0,5226.0
2616.0,5232.0,5232.0
2619.0,5238.0,5238.0
2622.0,5244.0,5244.0
2625.0,5250.0,5250.0
2628.0,5256.0,5256.0
2631.0,5262.0,5262.0
2634.0,5268.0,5268.0
2637.0,5274.0,5274.0
2640.0,5280.0,5280.0
2643.0,5286.0,5286.0
2646.0,5292.0,5292.0
2649.0,5298.0,5298.0
2652.0,5304.0,5304.0
2655.0,5310.0,5310.0
2658.0,5316.0,5316.0
2661.0,5322.0,5322.0
2664.0,5328.0,5328.0
2667.0,5334.0,5334.0
2670.0,5340.0,5340.0
2673.0,5346.0,5346.0
2676.0,5352.0,5352.0
2679.0,5358.0,5358.0
2682.0,5364.0,5364.0
2685.0,5370.0,5370.0
2688.0,5376.0,5376.0
2691.0,5382.0,5382.0
2694.0,5388.0,5388.0
2697.0,5394.0,5394.0
2700.0,5400.0,5400.0
2703.0,5406.0,5406.0
2706.0,5412.0,5412.0
2709.0,5418.0,5418.0
2712.0,5424.0,5424.0
2715.0,5430.0,5430.0
2718.0,5436.0,5436.0
2721.0,5442.0,5442.0
2724.0,5448.0,5448.0
2727.0,5454.0,5454.0
2730.0,5460.0,5460.0
2733.0,5466.0,5466.0
2736.0,5472.0,5472.0
2739.0,5478.0,5478.0
2742.0,5484.0,5484.0
2745.0,5490.0,5490.0
2748.0,5496.0,5496.0
2751.0,5502.0,5502.0
2754.0,5508.0,5508.0
2757.0,5514.0,5514.0
2760.0,5520.0,5520.0
2763.0,5526.0,5526.0
2766.0,5532.0,5532.0
2769.0,5538.0,5538.0
2772.0,5544.0,5544.0
2775.0,5550.0,5550.0
2778.0,5556.0,5556.0
2781.0,5562.0,5562.0
2784.0,5568.0,5568.0
2787.0,5574.0,5574.0
2790.0,5580.0,5580.0
2793.0,5586.0,5586.0
2796.0,5592.0,5592.0
2799.0,5598.0,5598.0
2802.0,5604.0,5604.0
2805.0,5610.0,5610.0
2808.0,5616.0,5616.0
2811.0,5622.0,5622.0
2814.0,5628.0,5628.0
2817.0,5634.0,5634.0
2820.0,5640.0,5640.0
2823.0,5646.0,5646.0
2826.0,5652.0,5652.0
2829.0,5658.0,5658.0
2832.0,5664.0,5664.0
2835.0,5670.0,5670.0
2838.0,5676.0,5676.0
2841.0,5682.0,5682.0
2844.0,5688.0,5688.0
2847.0,5694.0,5694.0
2850.0,5700.0,5700.0
2853.0,5706.0,5706.0
2856.0,5712.0,5712.0
2859.0,5718.0,5718.0
2862.0,5724.0,5724.0
2865.0,5730.0,5730.0
2868.0,5736.0,5736.0
2871.0,5742.0,5742.0
2874.0,5748.0,5748.0
2877.0,5754.0,5754.0
2880.0,5760.0,5760.0
2883.0,5766.0,5766.0
2886.0,5772.0,5772.0
2889.0,5778.0,5778.0
2892.0,5784.0,5784.0
2895.0,5790.0,5790.0
2898.0,5796.0,5796.0
2901.0,5802.0,5802.0
2904.0,5808.0,5808.0
2907.0,5814.0,5814.0
2910.0,5820.0,5820.0
2913.0,5826.0,5826.0
2916.0,5832.0,5832.0
2919.0,5838.0,5838.0
2922.0,5844.0,5844.0
2925.0,5850.0,5850.0
2928.0,5856.0,5856.0
2931.0,5862.0,5862.0
2934.0,5868.0,5868.0
2937.0,5874.0,5874.0
2940.0,5880.0,5880.0
2943.0,5886.0,5886.0
2946.0,5892.0,5892.0
2949.0,5898.0,5898.0
2952.0,5904.0,5904.0
2955.0,5910.0,5910.0
2958.0,5916.0,5916.0
2961.0,5922.0,5922.0
2964.0,5928.0,5928.0
2967.0,5934.0,5934.0
2970.0,5940.0,5940.0
2973.0,5946.0,5946.0
2976.0,5952.0,5952.0
2979.0,5958.0,5958.0
2982.0,5964.0,5964.0
2985.0,5970.0,5970.0
2988.0,5976.0,5976.0
2991.0,5982.0,5982.0
2994.0,5988.0,5988.0
2997.0,5994.0,5994.0
