x,y
-252.10670490359848,-332.3745033688129
-251.1924418283962,-326.44456888103633
-250.2781787531939,-320.51463439325977
-254.66136531476425,-316.41735778965227
-259.0445518763346,-312.3200811860448
-263.4277384379049,-308.2228045824373
-267.8109249994752,-304.1255279788298
-272.19411156104553,-300.0282513752223
-276.57729812261584,-295.9309747716148
-280.96048468418616,-291.8336981680073
-285.34367124575647,-287.7364215643998
-289.7268578073268,-283.6391449607923
-294.1100443688971,-279.5418683571848
-299.41603616878535,-276.74071662628575
-304.7220279686736,-273.9395648953867
-310.0280197685619,-271.13841316448764
-315.33401156845014,-268.3372614335886
-320.6400033683384,-265.53610970268954
-325.94599516822666,-262.7349579717905
-330.34065756714926,-258.64999256196194
-334.73531996607187,-254.56502715213338
-339.1299823649945,-250.48006174230483
-343.5246447639171,-246.39509633247627
-347.9193071628397,-242.31013092264772
-352.3139695617623,-238.22516551281916
-356.7086319606849,-234.1402001029906
-362.23478085028347,-231.8031766863367
-367.76092973988204,-229.46615326968282
-373.2870786294806,-227.12912985302893
-378.8132275190792,-224.79210643637504
-384.33937640867777,-222.45508301972114
-389.86552529827634,-220.11805960306725
-395.3916741878749,-217.78103618641336
-400.9178230774735,-215.44401276975947
-406.44397196707206,-213.10698935310558
-411.97012085667063,-210.76996593645168
-417.4962697462692,-208.4329425197978
-423.0224186358678,-206.0959191031439
-428.54856752546635,-203.75889568649
-434.0747164150649,-201.42187226983611
-439.6008653046635,-199.08484885318222
-445.1270141942621,-196.74782543652833
-451.0627827019511,-195.8722386486386
-456.99855120964014,-194.99665186074884
-462.9343197173292,-194.1210650728591
-468.8700882250182,-193.24547828496935
-474.80585673270724,-192.3698914970796
-480.4858058996287,-194.30332819404913
-486.16575506655016,-196.23676489101865
-491.8457042334716,-198.17020158798817
-497.5256534003931,-200.1036382849577
-492.16839938112724,-197.40181864385278
-486.8111453618614,-194.69999900274786
-481.45389134259557,-191.99817936164294
-476.09663732332973,-189.29635972053802
-470.7393833040639,-186.5945400794331
-465.38212928479805,-183.89272043832818
-463.03134020594,-178.3724133176399
-460.68055112708197,-172.85210619695164
-458.3297620482239,-167.33179907626337
-455.9789729693659,-161.8114919555751
-453.62818389050784,-156.29118483488682
-451.2773948116498,-150.77087771419855
-456.35760173778914,-147.57846521146556
-461.4378086639285,-144.38605270873256
-466.5180155900678,-141.19364020599957
-471.59822251620716,-138.00122770326658
-475.8675196789291,-142.21704337005923
-480.13681684165107,-146.43285903685188
-484.406114004373,-150.64867470364453
-488.675411167095,-154.86449037043718
-492.94470832981693,-159.08030603722983
-497.2140054925389,-163.29612170402248
-501.48330265526084,-167.51193737081513
-505.7525998179828,-171.72775303760778
-510.02189698070475,-175.94356870440043
-514.2911941434268,-180.15938437119308
-518.5604913061487,-184.37520003798573
-522.8297884688707,-188.59101570477839
-527.0990856315926,-192.80683137157104
-532.1606495832801,-196.0287206252509
-537.2222135349676,-199.2506098789308
-542.2837774866551,-202.47249913261066
-547.3453414383426,-205.69438838629054
-552.3752956721822,-202.42337013420453
-557.4052499060218,-199.15235188211852
-562.4352041398614,-195.88133363003251
-567.465158373701,-192.6103153779465
-572.4951126075406,-189.3392971258605
-566.5667125320741,-190.26345758011558
-560.6383124566077,-191.18761803437067
-554.7099123811412,-192.11177848862576
-548.7815123056747,-193.03593894288085
-547.2950988059622,-187.22297284046184
-545.8086853062497,-181.41000673804282
-544.3222718065372,-175.5970406356238
-542.8358583068247,-169.7840745332048
-543.5074635891096,-163.82178081813112
-544.1790688713946,-157.85948710305743
-544.8506741536796,-151.89719338798375
-550.5720115245213,-150.08990296057303
-556.2933488953629,-148.2826125331623
-562.0146862662045,-146.4753221057516
-567.7360236370462,-144.66803167834087
-573.7243923323468,-145.04144882998636
-579.7127610276475,-145.41486598163186
-585.7011297229482,-145.78828313327736
-591.6894984182488,-146.16170028492286
-597.6778671135495,-146.53511743656836
-603.6662358088502,-146.90853458821385
-606.9880884044351,-141.91200626014387
-610.30994100002,-136.91547793207388
-613.6317935956049,-131.9189496040039
-616.9536461911898,-126.92242127593393
-622.914048215882,-126.23422965723613
-628.8744502405741,-125.54603803853833
-634.8348522652662,-124.85784641984053
-640.7952542899584,-124.16965480114273
-644.7530979994295,-128.67914181979575
-648.7109417089007,-133.18862883844878
-652.6687854183718,-137.6981158571018
-656.626629127843,-142.20760287575484
-660.5844728373141,-146.71708989440788
-664.5423165467853,-151.2265769130609
-669.0894744925173,-155.14108258000874
-673.6366324382493,-159.05558824695657
-678.1837903839813,-162.9700939139044
-682.7309483297133,-166.88459958085224
-688.0980724007809,-169.56675901044758
-693.4651964718485,-172.24891844004293
-698.832320542916,-174.93107786963827
-704.1994446139836,-177.61323729923362
-701.7508812767488,-172.13559751703272
-699.3023179395141,-166.65795773483183
-696.8537546022793,-161.18031795263093
-694.4051912650446,-155.70267817043003
-691.9566279278098,-150.22503838822914
-689.508064590575,-144.74739860602824
-687.0595012533403,-139.26975882382735
